census_region,age_group,sex,education_5,income_bin,pop_count
South Atlantic Division,61+,Male,Bachelor degree,25000-49999,158925
South Atlantic Division,61+,Male,Bachelor degree,50000-99999,417564
South Atlantic Division,61+,Male,Graduate degree,0-24999,63003
South Atlantic Division,61+,Male,Graduate degree,100000-149999,264002
South Atlantic Division,61+,Male,Graduate degree,150000+,576106
South Atlantic Division,61+,Male,Graduate degree,25000-49999,96023
South Atlantic Division,61+,Male,Graduate degree,50000-99999,272827
South Atlantic Division,61+,Male,High school degree,0-24999,300052
South Atlantic Division,61+,Male,High school degree,100000-149999,302987
South Atlantic Division,61+,Male,High school degree,150000+,234498
South Atlantic Division,61+,Male,High school degree,25000-49999,446404
South Atlantic Division,61+,Male,High school degree,50000-99999,699265
South Atlantic Division,61+,Male,Less than high school degree,0-24999,199083
South Atlantic Division,61+,Male,Less than high school degree,100000-149999,89349
South Atlantic Division,61+,Male,Less than high school degree,150000+,73958
South Atlantic Division,61+,Male,Less than high school degree,25000-49999,192656
South Atlantic Division,61+,Male,Less than high school degree,50000-99999,212040
South Atlantic Division,61+,Male,Some college or Associate degree,0-24999,206102
South Atlantic Division,61+,Male,Some college or Associate degree,100000-149999,364842
South Atlantic Division,61+,Male,Some college or Associate degree,150000+,340926
South Atlantic Division,61+,Male,Some college or Associate degree,25000-49999,330142
South Atlantic Division,61+,Male,Some college or Associate degree,50000-99999,674331
West North Central Division,18-29,Female,Bachelor degree,0-24999,25773
West North Central Division,18-29,Female,Bachelor degree,100000-149999,96209
West North Central Division,18-29,Female,Bachelor degree,150000+,76997
West North Central Division,18-29,Female,Bachelor degree,25000-49999,41671
West North Central Division,18-29,Female,Bachelor degree,50000-99999,121765
West North Central Division,18-29,Female,Graduate degree,0-24999,5264
West North Central Division,18-29,Female,Graduate degree,100000-149999,26132
West North Central Division,18-29,Female,Graduate degree,150000+,27101
West North Central Division,18-29,Female,Graduate degree,25000-49999,9435
West North Central Division,18-29,Female,Graduate degree,50000-99999,20284
West North Central Division,18-29,Female,High school degree,0-24999,57440
West North Central Division,18-29,Female,High school degree,100000-149999,75260
West North Central Division,18-29,Female,High school degree,150000+,72581
West North Central Division,18-29,Female,High school degree,25000-49999,88545
West North Central Division,18-29,Female,High school degree,50000-99999,145370
West North Central Division,18-29,Female,Less than high school degree,0-24999,15072
West North Central Division,18-29,Female,Less than high school degree,100000-149999,26845
West North Central Division,18-29,Female,Less than high school degree,150000+,22098
West North Central Division,18-29,Female,Less than high school degree,25000-49999,26393
West North Central Division,18-29,Female,Less than high school degree,50000-99999,30399
West North Central Division,18-29,Female,Some college or Associate degree,0-24999,62045
West North Central Division,18-29,Female,Some college or Associate degree,100000-149999,106216
West North Central Division,18-29,Female,Some college or Associate degree,150000+,80187
West North Central Division,18-29,Female,Some college or Associate degree,25000-49999,101835
West North Central Division,18-29,Female,Some college or Associate degree,50000-99999,177584
West North Central Division,18-29,Male,Bachelor degree,0-24999,14763
West North Central Division,18-29,Male,Bachelor degree,100000-149999,73580
West North Central Division,18-29,Male,Bachelor degree,150000+,72835
West North Central Division,18-29,Male,Bachelor degree,25000-49999,34369
West North Central Division,18-29,Male,Bachelor degree,50000-99999,99960
West North Central Division,18-29,Male,Graduate degree,0-24999,7376
West North Central Division,18-29,Male,Graduate degree,100000-149999,10803
West North Central Division,18-29,Male,Graduate degree,150000+,12852
West North Central Division,18-29,Male,Graduate degree,25000-49999,6086
West North Central Division,18-29,Male,Graduate degree,50000-99999,16393
West North Central Division,18-29,Male,High school degree,0-24999,46296
West North Central Division,18-29,Male,High school degree,100000-149999,125931
West North Central Division,18-29,Male,High school degree,150000+,116949
West North Central Division,18-29,Male,High school degree,25000-49999,99041
West North Central Division,18-29,Male,High school degree,50000-99999,185188
West North Central Division,18-29,Male,Less than high school degree,0-24999,20289
West North Central Division,18-29,Male,Less than high school degree,100000-149999,34583
West North Central Division,18-29,Male,Less than high school degree,150000+,36414
West North Central Division,18-29,Male,Less than high school degree,25000-49999,23584
West North Central Division,18-29,Male,Less than high school degree,50000-99999,57446
West North Central Division,18-29,Male,Some college or Associate degree,0-24999,45122
West North Central Division,18-29,Male,Some college or Associate degree,100000-149999,111357
West North Central Division,18-29,Male,Some college or Associate degree,150000+,103670
West North Central Division,18-29,Male,Some college or Associate degree,25000-49999,81732
West North Central Division,18-29,Male,Some college or Associate degree,50000-99999,176254
West North Central Division,30-44,Female,Bachelor degree,0-24999,10233
West North Central Division,30-44,Female,Bachelor degree,100000-149999,169345
West North Central Division,30-44,Female,Bachelor degree,150000+,230837
West North Central Division,30-44,Female,Bachelor degree,25000-49999,36380
West North Central Division,30-44,Female,Bachelor degree,50000-99999,139119
West North Central Division,30-44,Female,Graduate degree,0-24999,6159
West North Central Division,30-44,Female,Graduate degree,100000-149999,101199
West North Central Division,30-44,Female,Graduate degree,150000+,198711
West North Central Division,30-44,Female,Graduate degree,25000-49999,12434
West North Central Division,30-44,Female,Graduate degree,50000-99999,70315
West North Central Division,30-44,Female,High school degree,0-24999,35361
West North Central Division,30-44,Female,High school degree,100000-149999,70906
West North Central Division,30-44,Female,High school degree,150000+,42595
West North Central Division,30-44,Female,High school degree,25000-49999,69109
West North Central Division,30-44,Female,High school degree,50000-99999,132837
West North Central Division,30-44,Female,Less than high school degree,0-24999,24980
West North Central Division,30-44,Female,Less than high school degree,100000-149999,20685
West North Central Division,30-44,Female,Less than high school degree,150000+,15219
West North Central Division,30-44,Female,Less than high school degree,25000-49999,27473
West North Central Division,30-44,Female,Less than high school degree,50000-99999,39404
West North Central Division,30-44,Female,Some college or Associate degree,0-24999,46514
West North Central Division,30-44,Female,Some college or Associate degree,100000-149999,177312
West North Central Division,30-44,Female,Some college or Associate degree,150000+,123522
West North Central Division,30-44,Female,Some college or Associate degree,25000-49999,85909
West North Central Division,30-44,Female,Some college or Associate degree,50000-99999,232566
West North Central Division,30-44,Male,Bachelor degree,0-24999,11815
West North Central Division,30-44,Male,Bachelor degree,100000-149999,153345
West North Central Division,30-44,Male,Bachelor degree,150000+,215582
West North Central Division,30-44,Male,Bachelor degree,25000-49999,27341
West North Central Division,30-44,Male,Bachelor degree,50000-99999,113209
West North Central Division,30-44,Male,Graduate degree,0-24999,3476
West North Central Division,30-44,Male,Graduate degree,100000-149999,59228
West North Central Division,30-44,Male,Graduate degree,150000+,142869
West North Central Division,30-44,Male,Graduate degree,25000-49999,12459
West North Central Division,30-44,Male,Graduate degree,50000-99999,47449
West North Central Division,30-44,Male,High school degree,0-24999,36297
West North Central Division,30-44,Male,High school degree,100000-149999,125106
West North Central Division,30-44,Male,High school degree,150000+,73075
West North Central Division,30-44,Male,High school degree,25000-49999,86137
West North Central Division,30-44,Male,High school degree,50000-99999,195665
West North Central Division,30-44,Male,Less than high school degree,0-24999,13710
West North Central Division,30-44,Male,Less than high school degree,100000-149999,30409
West North Central Division,30-44,Male,Less than high school degree,150000+,19071
West North Central Division,30-44,Male,Less than high school degree,25000-49999,30878
West North Central Division,30-44,Male,Less than high school degree,50000-99999,59855
West North Central Division,30-44,Male,Some college or Associate degree,0-24999,27729
West North Central Division,30-44,Male,Some college or Associate degree,100000-149999,192840
West North Central Division,30-44,Male,Some college or Associate degree,150000+,138136
West North Central Division,30-44,Male,Some college or Associate degree,25000-49999,67004
West North Central Division,30-44,Male,Some college or Associate degree,50000-99999,236417
West North Central Division,45-60,Female,Bachelor degree,0-24999,15848
West North Central Division,45-60,Female,Bachelor degree,100000-149999,108477
West North Central Division,45-60,Female,Bachelor degree,150000+,225598
West North Central Division,45-60,Female,Bachelor degree,25000-49999,28444
West North Central Division,45-60,Female,Bachelor degree,50000-99999,106981
West North Central Division,45-60,Female,Graduate degree,0-24999,6427
West North Central Division,45-60,Female,Graduate degree,100000-149999,71876
West North Central Division,45-60,Female,Graduate degree,150000+,179873
West North Central Division,45-60,Female,Graduate degree,25000-49999,11753
West North Central Division,45-60,Female,Graduate degree,50000-99999,51155
West North Central Division,45-60,Female,High school degree,0-24999,50338
West North Central Division,45-60,Female,High school degree,100000-149999,86437
West North Central Division,45-60,Female,High school degree,150000+,71780
West North Central Division,45-60,Female,High school degree,25000-49999,72463
West North Central Division,45-60,Female,High school degree,50000-99999,123489
West North Central Division,45-60,Female,Less than high school degree,0-24999,21473
West North Central Division,45-60,Female,Less than high school degree,100000-149999,23885
West North Central Division,45-60,Female,Less than high school degree,150000+,18042
West North Central Division,45-60,Female,Less than high school degree,25000-49999,26212
West North Central Division,45-60,Female,Less than high school degree,50000-99999,43693
West North Central Division,45-60,Female,Some college or Associate degree,0-24999,48555
West North Central Division,45-60,Female,Some college or Associate degree,100000-149999,159376
West North Central Division,45-60,Female,Some college or Associate degree,150000+,164616
West North Central Division,45-60,Female,Some college or Associate degree,25000-49999,73573
West North Central Division,45-60,Female,Some college or Associate degree,50000-99999,186484
West North Central Division,45-60,Male,Bachelor degree,0-24999,9026
West North Central Division,45-60,Male,Bachelor degree,100000-149999,91261
West North Central Division,45-60,Male,Bachelor degree,150000+,231731
West North Central Division,45-60,Male,Bachelor degree,25000-49999,15725
West North Central Division,45-60,Male,Bachelor degree,50000-99999,75116
West North Central Division,45-60,Male,Graduate degree,0-24999,4231
West North Central Division,45-60,Male,Graduate degree,100000-149999,48349
West North Central Division,45-60,Male,Graduate degree,150000+,148527
West North Central Division,45-60,Male,Graduate degree,25000-49999,8003
West North Central Division,45-60,Male,Graduate degree,50000-99999,32012
West North Central Division,45-60,Male,High school degree,0-24999,47013
West North Central Division,45-60,Male,High school degree,100000-149999,122450
West North Central Division,45-60,Male,High school degree,150000+,108492
West North Central Division,45-60,Male,High school degree,25000-49999,71595
West North Central Division,45-60,Male,High school degree,50000-99999,170895
West North Central Division,45-60,Male,Less than high school degree,0-24999,23122
West North Central Division,45-60,Male,Less than high school degree,100000-149999,31753
West North Central Division,45-60,Male,Less than high school degree,150000+,21162
West North Central Division,45-60,Male,Less than high school degree,25000-49999,27147
West North Central Division,45-60,Male,Less than high school degree,50000-99999,47646
West North Central Division,45-60,Male,Some college or Associate degree,0-24999,31286
West North Central Division,45-60,Male,Some college or Associate degree,100000-149999,158846
West North Central Division,45-60,Male,Some college or Associate degree,150000+,188154
West North Central Division,45-60,Male,Some college or Associate degree,25000-49999,53521
West North Central Division,45-60,Male,Some college or Associate degree,50000-99999,169221
West North Central Division,61+,Female,Bachelor degree,0-24999,41071
West North Central Division,61+,Female,Bachelor degree,100000-149999,93958
West North Central Division,61+,Female,Bachelor degree,150000+,106173
West North Central Division,61+,Female,Bachelor degree,25000-49999,73552
West North Central Division,61+,Female,Bachelor degree,50000-99999,153699
West North Central Division,61+,Female,Graduate degree,0-24999,20038
West North Central Division,61+,Female,Graduate degree,100000-149999,64053
West North Central Division,61+,Female,Graduate degree,150000+,74748
West North Central Division,61+,Female,Graduate degree,25000-49999,38658
West North Central Division,61+,Female,Graduate degree,50000-99999,88789
West North Central Division,61+,Female,High school degree,0-24999,179159
West North Central Division,61+,Female,High school degree,100000-149999,107830
West North Central Division,61+,Female,High school degree,150000+,82772
West North Central Division,61+,Female,High school degree,25000-49999,234939
West North Central Division,61+,Female,High school degree,50000-99999,283644
West North Central Division,61+,Female,Less than high school degree,0-24999,63063
West North Central Division,61+,Female,Less than high school degree,100000-149999,18697
West North Central Division,61+,Female,Less than high school degree,150000+,16804
West North Central Division,61+,Female,Less than high school degree,25000-49999,46152
West North Central Division,61+,Female,Less than high school degree,50000-99999,45422
West North Central Division,61+,Female,Some college or Associate degree,0-24999,135674
West North Central Division,61+,Female,Some college or Associate degree,100000-149999,134872
West North Central Division,61+,Female,Some college or Associate degree,150000+,103164
West North Central Division,61+,Female,Some college or Associate degree,25000-49999,190665
West North Central Division,61+,Female,Some college or Associate degree,50000-99999,306566
West North Central Division,61+,Male,Bachelor degree,0-24999,28843
West North Central Division,61+,Male,Bachelor degree,100000-149999,93718
West North Central Division,61+,Male,Bachelor degree,150000+,114827
West North Central Division,61+,Male,Bachelor degree,25000-49999,49986
West North Central Division,61+,Male,Bachelor degree,50000-99999,141830
West North Central Division,61+,Male,Graduate degree,0-24999,13519
West North Central Division,61+,Male,Graduate degree,100000-149999,64580
West North Central Division,61+,Male,Graduate degree,150000+,110118
West North Central Division,61+,Male,Graduate degree,25000-49999,27140
West North Central Division,61+,Male,Graduate degree,50000-99999,81626
West North Central Division,61+,Male,High school degree,0-24999,106369
West North Central Division,61+,Male,High school degree,100000-149999,111626
West North Central Division,61+,Male,High school degree,150000+,71554
West North Central Division,61+,Male,High school degree,25000-49999,176734
West North Central Division,61+,Male,High school degree,50000-99999,282316
West North Central Division,61+,Male,Less than high school degree,0-24999,37666
West North Central Division,61+,Male,Less than high school degree,100000-149999,20999
West North Central Division,61+,Male,Less than high school degree,150000+,11380
West North Central Division,61+,Male,Less than high school degree,25000-49999,37868
West North Central Division,61+,Male,Less than high school degree,50000-99999,55926
West North Central Division,61+,Male,Some college or Associate degree,0-24999,66348
West North Central Division,61+,Male,Some college or Associate degree,100000-149999,133100
West North Central Division,61+,Male,Some college or Associate degree,150000+,97982
West North Central Division,61+,Male,Some college or Associate degree,25000-49999,126567
West North Central Division,61+,Male,Some college or Associate degree,50000-99999,256725
West South Central Division,18-29,Female,Bachelor degree,0-24999,49408
West South Central Division,18-29,Female,Bachelor degree,100000-149999,140193
West South Central Division,18-29,Female,Bachelor degree,150000+,171222
West South Central Division,18-29,Female,Bachelor degree,25000-49999,76608
West South Central Division,18-29,Female,Bachelor degree,50000-99999,195298
West South Central Division,18-29,Female,Graduate degree,0-24999,13481
West South Central Division,18-29,Female,Graduate degree,100000-149999,39077
West South Central Division,18-29,Female,Graduate degree,150000+,51161
West South Central Division,18-29,Female,Graduate degree,25000-49999,17375
West South Central Division,18-29,Female,Graduate degree,50000-99999,45501
West South Central Division,18-29,Female,High school degree,0-24999,122476
West South Central Division,18-29,Female,High school degree,100000-149999,168832
West South Central Division,18-29,Female,High school degree,150000+,155873
West South Central Division,18-29,Female,High school degree,25000-49999,194573
West South Central Division,18-29,Female,High school degree,50000-99999,337362
West South Central Division,18-29,Female,Less than high school degree,0-24999,60836
West South Central Division,18-29,Female,Less than high school degree,100000-149999,45078
West South Central Division,18-29,Female,Less than high school degree,150000+,48948
West South Central Division,18-29,Female,Less than high school degree,25000-49999,74934
West South Central Division,18-29,Female,Less than high school degree,50000-99999,81992
West South Central Division,18-29,Female,Some college or Associate degree,0-24999,123451
West South Central Division,18-29,Female,Some college or Associate degree,100000-149999,198132
West South Central Division,18-29,Female,Some college or Associate degree,150000+,174838
West South Central Division,18-29,Female,Some college or Associate degree,25000-49999,199887
West South Central Division,18-29,Female,Some college or Associate degree,50000-99999,348790
West South Central Division,18-29,Male,Bachelor degree,0-24999,31395
West South Central Division,18-29,Male,Bachelor degree,100000-149999,110399
West South Central Division,18-29,Male,Bachelor degree,150000+,151056
West South Central Division,18-29,Male,Bachelor degree,25000-49999,49129
West South Central Division,18-29,Male,Bachelor degree,50000-99999,144858
West South Central Division,18-29,Male,Graduate degree,0-24999,6196
West South Central Division,18-29,Male,Graduate degree,100000-149999,24852
West South Central Division,18-29,Male,Graduate degree,150000+,38426
West South Central Division,18-29,Male,Graduate degree,25000-49999,11683
West South Central Division,18-29,Male,Graduate degree,50000-99999,27641
West South Central Division,18-29,Male,High school degree,0-24999,101394
West South Central Division,18-29,Male,High school degree,100000-149999,237543
West South Central Division,18-29,Male,High school degree,150000+,224002
West South Central Division,18-29,Male,High school degree,25000-49999,210746
West South Central Division,18-29,Male,High school degree,50000-99999,433994
West South Central Division,18-29,Male,Less than high school degree,0-24999,53911
West South Central Division,18-29,Male,Less than high school degree,100000-149999,64978
West South Central Division,18-29,Male,Less than high school degree,150000+,59997
West South Central Division,18-29,Male,Less than high school degree,25000-49999,81053
West South Central Division,18-29,Male,Less than high school degree,50000-99999,136222
West South Central Division,18-29,Male,Some college or Associate degree,0-24999,94242
West South Central Division,18-29,Male,Some college or Associate degree,100000-149999,188152
West South Central Division,18-29,Male,Some college or Associate degree,150000+,204153
West South Central Division,18-29,Male,Some college or Associate degree,25000-49999,156010
West South Central Division,18-29,Male,Some college or Associate degree,50000-99999,324080
West South Central Division,30-44,Female,Bachelor degree,0-24999,32968
West South Central Division,30-44,Female,Bachelor degree,100000-149999,269870
West South Central Division,30-44,Female,Bachelor degree,150000+,444622
West South Central Division,30-44,Female,Bachelor degree,25000-49999,81595
West South Central Division,30-44,Female,Bachelor degree,50000-99999,305167
West South Central Division,30-44,Female,Graduate degree,0-24999,15753
West South Central Division,30-44,Female,Graduate degree,100000-149999,156917
West South Central Division,30-44,Female,Graduate degree,150000+,365522
West South Central Division,30-44,Female,Graduate degree,25000-49999,30499
West South Central Division,30-44,Female,Graduate degree,50000-99999,137243
West South Central Division,30-44,Female,High school degree,0-24999,123152
West South Central Division,30-44,Female,High school degree,100000-149999,172741
West South Central Division,30-44,Female,High school degree,150000+,121002
West South Central Division,30-44,Female,High school degree,25000-49999,191982
West South Central Division,30-44,Female,High school degree,50000-99999,330708
West South Central Division,30-44,Female,Less than high school degree,0-24999,81676
West South Central Division,30-44,Female,Less than high school degree,100000-149999,49334
West South Central Division,30-44,Female,Less than high school degree,150000+,31634
West South Central Division,30-44,Female,Less than high school degree,25000-49999,106928
West South Central Division,30-44,Female,Less than high school degree,50000-99999,132383
West South Central Division,30-44,Female,Some college or Associate degree,0-24999,118925
West South Central Division,30-44,Female,Some college or Associate degree,100000-149999,282076
West South Central Division,30-44,Female,Some college or Associate degree,150000+,245135
West South Central Division,30-44,Female,Some college or Associate degree,25000-49999,209661
West South Central Division,30-44,Female,Some college or Associate degree,50000-99999,415305
West South Central Division,30-44,Male,Bachelor degree,0-24999,24460
West South Central Division,30-44,Male,Bachelor degree,100000-149999,226520
West South Central Division,30-44,Male,Bachelor degree,150000+,407777
West South Central Division,30-44,Male,Bachelor degree,25000-49999,56127
West South Central Division,30-44,Male,Bachelor degree,50000-99999,213942
West South Central Division,30-44,Male,Graduate degree,0-24999,10873
West South Central Division,30-44,Male,Graduate degree,100000-149999,122432
West South Central Division,30-44,Male,Graduate degree,150000+,297468
West South Central Division,30-44,Male,Graduate degree,25000-49999,21848
West South Central Division,30-44,Male,Graduate degree,50000-99999,93689
West South Central Division,30-44,Male,High school degree,0-24999,89723
West South Central Division,30-44,Male,High school degree,100000-149999,248376
West South Central Division,30-44,Male,High school degree,150000+,181466
West South Central Division,30-44,Male,High school degree,25000-49999,196986
West South Central Division,30-44,Male,High school degree,50000-99999,421900
West South Central Division,30-44,Male,Less than high school degree,0-24999,62589
West South Central Division,30-44,Male,Less than high school degree,100000-149999,70293
West South Central Division,30-44,Male,Less than high school degree,150000+,42301
West South Central Division,30-44,Male,Less than high school degree,25000-49999,120863
West South Central Division,30-44,Male,Less than high school degree,50000-99999,160090
West South Central Division,30-44,Male,Some college or Associate degree,0-24999,57396
West South Central Division,30-44,Male,Some college or Associate degree,100000-149999,286452
West South Central Division,30-44,Male,Some college or Associate degree,150000+,267046
West South Central Division,30-44,Male,Some college or Associate degree,25000-49999,131786
West South Central Division,30-44,Male,Some college or Associate degree,50000-99999,385710
West South Central Division,45-60,Female,Bachelor degree,0-24999,34547
West South Central Division,45-60,Female,Bachelor degree,100000-149999,174719
West South Central Division,45-60,Female,Bachelor degree,150000+,403135
West South Central Division,45-60,Female,Bachelor degree,25000-49999,60951
West South Central Division,45-60,Female,Bachelor degree,50000-99999,193491
West South Central Division,45-60,Female,Graduate degree,0-24999,14319
West South Central Division,45-60,Female,Graduate degree,100000-149999,109021
West South Central Division,45-60,Female,Graduate degree,150000+,302594
West South Central Division,45-60,Female,Graduate degree,25000-49999,20968
West South Central Division,45-60,Female,Graduate degree,50000-99999,97070
West South Central Division,45-60,Female,High school degree,0-24999,119831
West South Central Division,45-60,Female,High school degree,100000-149999,184924
West South Central Division,45-60,Female,High school degree,150000+,165977
West South Central Division,45-60,Female,High school degree,25000-49999,166324
West South Central Division,45-60,Female,High school degree,50000-99999,300692
West South Central Division,45-60,Female,Less than high school degree,0-24999,100202
West South Central Division,45-60,Female,Less than high school degree,100000-149999,85389
West South Central Division,45-60,Female,Less than high school degree,150000+,65738
West South Central Division,45-60,Female,Less than high school degree,25000-49999,114281
West South Central Division,45-60,Female,Less than high school degree,50000-99999,164769
West South Central Division,45-60,Female,Some college or Associate degree,0-24999,92085
West South Central Division,45-60,Female,Some college or Associate degree,100000-149999,247795
West South Central Division,45-60,Female,Some college or Associate degree,150000+,282934
West South Central Division,45-60,Female,Some college or Associate degree,25000-49999,159621
West South Central Division,45-60,Female,Some college or Associate degree,50000-99999,321478
West South Central Division,45-60,Male,Bachelor degree,0-24999,23655
West South Central Division,45-60,Male,Bachelor degree,100000-149999,158545
West South Central Division,45-60,Male,Bachelor degree,150000+,392653
West South Central Division,45-60,Male,Bachelor degree,25000-49999,39272
West South Central Division,45-60,Male,Bachelor degree,50000-99999,127462
West South Central Division,45-60,Male,Graduate degree,0-24999,12004
West South Central Division,45-60,Male,Graduate degree,100000-149999,78148
West South Central Division,45-60,Male,Graduate degree,150000+,311167
West South Central Division,45-60,Male,Graduate degree,25000-49999,17470
West South Central Division,45-60,Male,Graduate degree,50000-99999,60929
West South Central Division,45-60,Male,High school degree,0-24999,101261
West South Central Division,45-60,Male,High school degree,100000-149999,217843
West South Central Division,45-60,Male,High school degree,150000+,186342
West South Central Division,45-60,Male,High school degree,25000-49999,139553
West South Central Division,45-60,Male,High school degree,50000-99999,338229
West South Central Division,45-60,Male,Less than high school degree,0-24999,80513
West South Central Division,45-60,Male,Less than high school degree,100000-149999,96668
West South Central Division,45-60,Male,Less than high school degree,150000+,70787
West South Central Division,45-60,Male,Less than high school degree,25000-49999,112308
West South Central Division,45-60,Male,Less than high school degree,50000-99999,204380
West South Central Division,45-60,Male,Some college or Associate degree,0-24999,61035
West South Central Division,45-60,Male,Some college or Associate degree,100000-149999,242671
West South Central Division,45-60,Male,Some college or Associate degree,150000+,312007
West South Central Division,45-60,Male,Some college or Associate degree,25000-49999,104297
West South Central Division,45-60,Male,Some college or Associate degree,50000-99999,253997
West South Central Division,61+,Female,Bachelor degree,0-24999,59573
West South Central Division,61+,Female,Bachelor degree,100000-149999,141987
West South Central Division,61+,Female,Bachelor degree,150000+,203069
West South Central Division,61+,Female,Bachelor degree,25000-49999,108646
West South Central Division,61+,Female,Bachelor degree,50000-99999,235569
West South Central Division,61+,Female,Graduate degree,0-24999,33753
West South Central Division,61+,Female,Graduate degree,100000-149999,93469
West South Central Division,61+,Female,Graduate degree,150000+,140383
West South Central Division,61+,Female,Graduate degree,25000-49999,56895
West South Central Division,61+,Female,Graduate degree,50000-99999,133509
West South Central Division,61+,Female,High school degree,0-24999,284299
West South Central Division,61+,Female,High school degree,100000-149999,158737
West South Central Division,61+,Female,High school degree,150000+,151764
West South Central Division,61+,Female,High school degree,25000-49999,323143
West South Central Division,61+,Female,High school degree,50000-99999,388566
West South Central Division,61+,Female,Less than high school degree,0-24999,217747
West South Central Division,61+,Female,Less than high school degree,100000-149999,69459
West South Central Division,61+,Female,Less than high school degree,150000+,59315
West South Central Division,61+,Female,Less than high school degree,25000-49999,150313
West South Central Division,61+,Female,Less than high school degree,50000-99999,164726
West South Central Division,61+,Female,Some college or Associate degree,0-24999,217576
West South Central Division,61+,Female,Some college or Associate degree,100000-149999,196224
West South Central Division,61+,Female,Some college or Associate degree,150000+,192300
West South Central Division,61+,Female,Some college or Associate degree,25000-49999,271658
West South Central Division,61+,Female,Some college or Associate degree,50000-99999,397707
West South Central Division,61+,Male,Bachelor degree,0-24999,46406
West South Central Division,61+,Male,Bachelor degree,100000-149999,143665
West South Central Division,61+,Male,Bachelor degree,150000+,227677
West South Central Division,61+,Male,Bachelor degree,25000-49999,81170
West South Central Division,61+,Male,Bachelor degree,50000-99999,197659
West South Central Division,61+,Male,Graduate degree,0-24999,25060
West South Central Division,61+,Male,Graduate degree,100000-149999,104892
West South Central Division,61+,Male,Graduate degree,150000+,206669
West South Central Division,61+,Male,Graduate degree,25000-49999,42512
West South Central Division,61+,Male,Graduate degree,50000-99999,119176
West South Central Division,61+,Male,High school degree,0-24999,163584
West South Central Division,61+,Male,High school degree,100000-149999,144778
West South Central Division,61+,Male,High school degree,150000+,122906
West South Central Division,61+,Male,High school degree,25000-49999,218972
West South Central Division,61+,Male,High school degree,50000-99999,331107
West South Central Division,61+,Male,Less than high school degree,0-24999,153183
West South Central Division,61+,Male,Less than high school degree,100000-149999,58367
West South Central Division,61+,Male,Less than high school degree,150000+,51476
West South Central Division,61+,Male,Less than high school degree,25000-49999,145746
West South Central Division,61+,Male,Less than high school degree,50000-99999,143896
West South Central Division,61+,Male,Some college or Associate degree,0-24999,119688
West South Central Division,61+,Male,Some college or Associate degree,100000-149999,188179
West South Central Division,61+,Male,Some college or Associate degree,150000+,167044
West South Central Division,61+,Male,Some college or Associate degree,25000-49999,177498
West South Central Division,61+,Male,Some college or Associate degree,50000-99999,341793
