census_region,age_group,sex,education_5,income_bin,pop_count
East South Central Division,18-29,Male,Graduate degree,50000-99999,13025
East South Central Division,18-29,Male,High school degree,0-24999,53887
East South Central Division,18-29,Male,High school degree,100000-149999,110584
East South Central Division,18-29,Male,High school degree,150000+,92246
East South Central Division,18-29,Male,High school degree,25000-49999,98690
East South Central Division,18-29,Male,High school degree,50000-99999,196736
East South Central Division,18-29,Male,Less than high school degree,0-24999,24647
East South Central Division,18-29,Male,Less than high school degree,100000-149999,24954
East South Central Division,18-29,Male,Less than high school degree,150000+,29789
East South Central Division,18-29,Male,Less than high school degree,25000-49999,29845
East South Central Division,18-29,Male,Less than high school degree,50000-99999,50316
East South Central Division,18-29,Male,Some college or Associate degree,0-24999,38934
East South Central Division,18-29,Male,Some college or Associate degree,100000-149999,83320
East South Central Division,18-29,Male,Some college or Associate degree,150000+,81215
East South Central Division,18-29,Male,Some college or Associate degree,25000-49999,59186
East South Central Division,18-29,Male,Some college or Associate degree,50000-99999,145449
East South Central Division,30-44,Female,Bachelor degree,0-24999,14234
East South Central Division,30-44,Female,Bachelor degree,100000-149999,118275
East South Central Division,30-44,Female,Bachelor degree,150000+,142642
East South Central Division,30-44,Female,Bachelor degree,25000-49999,29314
East South Central Division,30-44,Female,Bachelor degree,50000-99999,125233
East South Central Division,30-44,Female,Graduate degree,0-24999,6087
East South Central Division,30-44,Female,Graduate degree,100000-149999,87858
East South Central Division,30-44,Female,Graduate degree,150000+,142527
East South Central Division,30-44,Female,Graduate degree,25000-49999,15409
East South Central Division,30-44,Female,Graduate degree,50000-99999,66127
East South Central Division,30-44,Female,High school degree,0-24999,69300
East South Central Division,30-44,Female,High school degree,100000-149999,75040
East South Central Division,30-44,Female,High school degree,150000+,40200
East South Central Division,30-44,Female,High school degree,25000-49999,93633
East South Central Division,30-44,Female,High school degree,50000-99999,149166
East South Central Division,30-44,Female,Less than high school degree,0-24999,34784
East South Central Division,30-44,Female,Less than high school degree,100000-149999,17191
East South Central Division,30-44,Female,Less than high school degree,150000+,9185
East South Central Division,30-44,Female,Less than high school degree,25000-49999,31455
East South Central Division,30-44,Female,Less than high school degree,50000-99999,40079
