"Dataset: ACS 1-Year Estimates Public Use Microdata Sample (2024)"
"Weight: Housing Unit Weight (WGTP)"
"Universe:"
"Selected Geographies:"
"  East North Central Division"
"  East South Central Division"
"  Middle Atlantic Division"
"  Mountain Division"
"  New England Division"
"  Pacific Division"
"  South Atlantic Division"
"  West North Central Division"
"  West South Central Division"
"","","Income_Group (HINCP_RC1)","","","","",""
"Group","Educational attainment","Total Income_Group (HINCP_RC1)","0-24999","25000-49999","50000-99999","100000-149999","150000+"
"","Grade 9","16,882","7,471","3,469","2,538","1,410","1,994"
"","Grade 10","21,584","7,102","5,388","5,219","2,191","1,684"
"","Grade 11","18,438","6,789","3,166","4,509","1,748","2,226"
"","12th grade - no diploma","32,911","9,010","5,086","7,716","4,779","6,320"
"","Regular high school diploma","512,048","96,642","110,041","152,655","75,767","76,943"
"","GED or alternative credential","65,573","15,916","14,750","17,173","9,862","7,872"
"","Some college, but less than 1 year","135,567","21,326","27,239","39,830","22,232","24,940"
"","1 or more years of college credit, no degree","201,136","32,202","44,379","55,857","33,951","34,747"
"","Associate's degree","211,901","28,236","35,378","60,380","41,063","46,844"
"","Bachelor's degree","409,701","32,627","50,742","113,829","79,344","133,159"
"","Master's degree","271,277","17,175","24,004","73,743","56,310","100,045"
"","Professional degree beyond a bachelor's degree","47,857","2,458","4,144","7,079","7,761","26,415"
"","Doctorate degree","35,483","1,648","3,235","6,798","7,445","16,357"
" -> Middle Atlantic Division","","32,188,233","2,996,812","3,989,398","8,180,799","6,240,863","10,780,361"
" -> Middle Atlantic Division -> 18-29","","5,614,950","436,136","665,715","1,500,330","1,145,963","1,866,806"
" -> Middle Atlantic Division -> 18-29 -> Male","","2,829,648","199,304","314,798","749,994","578,347","987,205"
"","N/A (less than 3 years old)","0","0","0","0","0","0"
"","No schooling completed","30,497","5,736","5,378","7,424","5,431","6,528"
"","Nursery school, preschool","203","0","0","203","0","0"
"","Kindergarten","641","189","228","0","0","224"
"","Grade 1","106","0","0","0","84","22"
"","Grade 2","974","0","643","112","116","103"
"","Grade 3","660","0","187","222","0","251"
"","Grade 4","651","0","0","176","378","97"
"","Grade 5","2,355","0","0","1,142","146","1,067"
"","Grade 6","8,101","294","1,302","2,112","1,957","2,436"
"","Grade 7","1,882","147","133","635","327","640"
"","Grade 8","19,599","1,230","3,187","5,363","3,386","6,433"
"","Grade 9","15,642","1,953","3,147","3,994","3,491","3,057"
"","Grade 10","36,516","8,187","9,048","10,835","3,922","4,524"
"","Grade 11","98,931","9,554","15,882","26,358","16,886","30,251"
"","12th grade - no diploma","71,474","5,847","11,317","23,196","11,499","19,615"
"","Regular high school diploma","872,397","64,626","118,481","259,668","186,127","243,495"
"","GED or alternative credential","49,990","4,128","6,632","18,218","7,938","13,074"
"","Some college, but less than 1 year","160,711","13,173","18,384","48,340","32,588","48,226"
"","1 or more years of college credit, no degree","427,214","34,577","48,192","114,307","87,930","142,208"
"","Associate's degree","170,737","9,066","17,423","47,240","36,161","60,847"
"","Bachelor's degree","694,650","33,728","45,958","144,750","143,754","326,460"
"","Master's degree","127,946","4,152","7,288","27,396","29,259","59,851"
"","Professional degree beyond a bachelor's degree","23,650","2,127","731","5,002","4,140","11,650"
"","Doctorate degree","14,121","590","1,257","3,301","2,827","6,146"
" -> Middle Atlantic Division -> 18-29 -> Female","","2,785,302","236,832","350,917","750,336","567,616","879,601"
"","N/A (less than 3 years old)","0","0","0","0","0","0"
"","No schooling completed","21,531","4,160","4,042","5,353","3,434","4,542"
"","Nursery school, preschool","927","0","79","294","124","430"
"","Kindergarten","246","15","0","0","0","231"
"","Grade 1","652","0","0","174","0","478"
"","Grade 2","83","0","0","83","0","0"
"","Grade 3","1,618","628","390","81","452","67"
"","Grade 4","1,094","0","325","162","210","397"
"","Grade 5","1,502","223","433","446","222","178"
"","Grade 6","5,446","269","1,495","2,048","905","729"
"","Grade 7","1,631","481","117","281","397","355"
"","Grade 8","13,787","1,123","2,530","2,817","2,866","4,451"
"","Grade 9","13,302","1,484","3,523","4,987","2,078","1,230"
"","Grade 10","20,979","3,975","5,521","6,711","2,476","2,296"
"","Grade 11","80,743","11,217","13,606","22,105","13,504","20,311"
"","12th grade - no diploma","49,006","6,928","6,932","14,882","9,421","10,843"
"","Regular high school diploma","693,672","76,293","110,635","212,816","127,535","166,393"
"","GED or alternative credential","47,306","7,638","7,384","11,230","9,353","11,701"
"","Some college, but less than 1 year","147,505","13,756","24,189","44,840","28,758","35,962"
"","1 or more years of college credit, no degree","425,523","45,188","65,865","122,016","79,411","113,043"
"","Associate's degree","167,105","10,627","22,922","51,837","39,486","42,233"
"","Bachelor's degree","800,930","39,733","62,828","186,576","173,485","338,308"
"","Master's degree","229,356","8,313","14,145","48,840","62,107","95,951"
"","Professional degree beyond a bachelor's degree","44,242","3,586","2,654","9,538","7,725","20,739"
"","Doctorate degree","17,116","1,195","1,302","2,219","3,667","8,733"
" -> Middle Atlantic Division -> 30-44","","8,288,964","506,335","832,708","1,992,443","1,769,547","3,187,931"
" -> Middle Atlantic Division -> 30-44 -> Male","","4,045,922","204,423","375,357","984,483","884,931","1,596,728"
"","N/A (less than 3 years old)","0","0","0","0","0","0"
"","No schooling completed","74,645","7,392","12,320","23,826","13,715","17,392"
"","Nursery school, preschool","1,284","482","17","226","204","355"
"","Kindergarten","1,178","53","0","510","432","183"
"","Grade 1","1,921","869","0","620","126","306"
"","Grade 2","2,316","147","457","478","557","677"
"","Grade 3","3,697","169","630","2,150","260","488"
"","Grade 4","3,236","153","1,127","509","872","575"
"","Grade 5","5,254","317","1,446","2,068","497","926"
"","Grade 6","27,512","1,978","5,887","7,650","6,249","5,748"
"","Grade 7","8,901","1,334","1,924","3,298","1,443","902"
"","Grade 8","26,161","3,034","4,949","9,023","4,654","4,501"
"","Grade 9","28,582","3,220","7,169","9,114","3,869","5,210"
"","Grade 10","35,427","5,803","6,604","11,608","4,665","6,747"
"","Grade 11","43,011","7,188","8,836","14,061","7,043","5,883"
"","12th grade - no diploma","79,181","7,960","17,457","26,162","10,374","17,228"
"","Regular high school diploma","801,941","61,533","116,442","269,635","188,033","166,298"
"","GED or alternative credential","168,668","13,793","27,407","61,439","35,573","30,456"
"","Some college, but less than 1 year","193,725","11,340","23,959","56,290","48,373","53,763"
"","1 or more years of college credit, no degree","397,712","25,187","42,862","114,281","97,631","117,751"
"","Associate's degree","305,962","12,903","28,712","87,680","80,259","96,408"
"","Bachelor's degree","1,115,230","25,836","47,707","183,005","244,195","614,487"
"","Master's degree","505,073","10,004","14,590","72,448","103,527","304,504"
"","Professional degree beyond a bachelor's degree","122,588","1,326","2,932","13,589","14,345","90,396"
"","Doctorate degree","92,717","2,402","1,923","14,813","18,035","55,544"
" -> Middle Atlantic Division -> 30-44 -> Female","","4,243,042","301,912","457,351","1,007,960","884,616","1,591,203"
"","N/A (less than 3 years old)","0","0","0","0","0","0"
